
# terms.txt

# This is a dictionary of rare terms that we want to introduce/substitute
# into a synthetic parallel corpus.

# Plurals on the English side are auto-generated by default, but if they are (very)
# irregular, they can be included explicitly like so:
# rauðdvergur/kk, red dwarf, red dwarves

reikistjarna/kvk, planet
rauðdvergur/kk, red dwarf, red dwarves
smástirnabelti/hk, asteroid belt
halastjarna/kvk, comet
rauðvik/hk, red shift
lausnarhraði/kk, escape velocity
öreindahraðall/kk, particle accelerator
nifteind/kvk, neutron
miðeind/kvk, meson
fiseind/kvk, lepton
stjörnuþoka/kvk, galaxy
vetrarbraut/kvk, galaxy
deildarmyrkvi/kk, partial eclipse
dulstirni/hk, quasar
kvasi/kk, quasar
dvergþoka/kvk, dwarf galaxy
eldflaug/kvk, rocket
farbraut/kvk, trajectory
tunglár/hk, lunar year
tunglmyrkvi/kk, lunar eclipse
lithvolf/hk, chromosphere
ljómlitróf/hk, emission spectrum, emission spectra
